,Date_,Gld_Close
0,2010-01-04,1117.7
1,2010-01-05,1118.1
2,2010-01-06,1135.9
3,2010-01-07,1133.1
4,2010-01-08,1138.2
5,2010-01-11,1150.7
6,2010-01-12,1128.9
7,2010-01-13,1136.4
8,2010-01-14,1142.6
9,2010-01-15,1130.1
10,2010-01-19,1139.7
11,2010-01-20,1112.3
12,2010-01-21,1102.7
13,2010-01-22,1089.2
14,2010-01-25,1095.2
15,2010-01-26,1097.9
16,2010-01-27,1084.4
17,2010-01-28,1083.6
18,2010-01-29,1083.0
19,2010-02-01,1104.3
20,2010-02-02,1117.4
21,2010-02-03,1111.4
22,2010-02-04,1062.4
23,2010-02-05,1052.2
24,2010-02-08,1065.7
25,2010-02-09,1076.7
26,2010-02-10,1075.8
27,2010-02-11,1094.2
28,2010-02-12,1089.5
29,2010-02-16,1119.3
30,2010-02-17,1119.5
31,2010-02-18,1118.0
32,2010-02-19,1121.3
33,2010-02-22,1112.6
34,2010-02-23,1102.7
35,2010-02-24,1096.5
36,2010-02-25,1107.8
37,2010-02-26,1118.3
38,2010-03-01,1117.8
39,2010-03-02,1136.9
40,2010-03-03,1142.7
41,2010-03-04,1132.6
42,2010-03-05,1134.8
43,2010-03-08,1123.6
44,2010-03-09,1122.0
45,2010-03-10,1107.8
46,2010-03-11,1108.0
47,2010-03-12,1101.5
48,2010-03-15,1105.1
49,2010-03-16,1122.2
50,2010-03-17,1124.0
51,2010-03-18,1127.4
52,2010-03-19,1107.4
53,2010-03-22,1099.3
54,2010-03-23,1103.5
55,2010-03-24,1088.6
56,2010-03-25,1092.7
57,2010-03-26,1104.2
58,2010-03-29,1110.3
59,2010-03-30,1104.5
60,2010-03-31,1113.3
61,2010-04-01,1125.1
62,2010-04-05,1132.9
63,2010-04-06,1135.1
64,2010-04-07,1152.3
65,2010-04-08,1152.2
66,2010-04-09,1161.1
67,2010-04-12,1161.6
68,2010-04-13,1152.8
69,2010-04-14,1159.0
70,2010-04-15,1159.7
71,2010-04-16,1136.3
72,2010-04-19,1135.2
73,2010-04-20,1138.6
74,2010-04-21,1148.2
75,2010-04-22,1142.3
76,2010-04-23,1153.1
77,2010-04-26,1153.5
78,2010-04-27,1161.7
79,2010-04-28,1171.3
80,2010-04-29,1168.4
81,2010-04-30,1180.1
82,2010-05-03,1182.7
83,2010-05-04,1168.6
84,2010-05-05,1174.6
85,2010-05-06,1196.9
86,2010-05-07,1210.0
87,2010-05-10,1200.4
88,2010-05-11,1219.9
89,2010-05-12,1242.7
90,2010-05-13,1228.8
91,2010-05-14,1227.4
92,2010-05-17,1227.7
93,2010-05-18,1214.3
94,2010-05-19,1192.6
95,2010-05-20,1187.8
96,2010-05-21,1175.7
97,2010-05-24,1193.8
98,2010-05-25,1197.8
99,2010-05-26,1213.3
100,2010-05-27,1211.9
101,2010-05-28,1212.2
102,2010-06-01,1224.8
103,2010-06-02,1220.6
104,2010-06-03,1208.3
105,2010-06-04,1216.2
106,2010-06-07,1239.3
107,2010-06-08,1244.0
108,2010-06-09,1228.5
109,2010-06-10,1220.8
110,2010-06-11,1228.9
111,2010-06-14,1223.3
112,2010-06-15,1233.2
113,2010-06-16,1229.3
114,2010-06-17,1247.5
115,2010-06-18,1257.2
116,2010-06-21,1239.7
117,2010-06-22,1239.9
118,2010-06-23,1234.1
119,2010-06-24,1245.5
120,2010-06-25,1255.8
121,2010-06-28,1238.2
122,2010-06-29,1242.0
123,2010-06-30,1245.5
124,2010-07-01,1206.3
125,2010-07-02,1207.4
126,2010-07-06,1194.8
127,2010-07-07,1198.6
128,2010-07-08,1195.8
129,2010-07-09,1209.6
130,2010-07-12,1198.5
131,2010-07-13,1213.3
132,2010-07-14,1206.8
133,2010-07-15,1208.1
134,2010-07-16,1188.0
135,2010-07-19,1181.7
136,2010-07-20,1191.5
137,2010-07-21,1191.6
138,2010-07-22,1195.5
139,2010-07-23,1187.7
140,2010-07-26,1183.0
141,2010-07-27,1158.0
142,2010-07-28,1160.4
143,2010-07-29,1168.4
144,2010-07-30,1181.7
145,2010-08-02,1183.4
146,2010-08-03,1185.2
147,2010-08-04,1193.7
148,2010-08-05,1197.2
149,2010-08-06,1203.4
150,2010-08-09,1200.7
151,2010-08-10,1196.2
152,2010-08-11,1197.5
153,2010-08-12,1214.8
154,2010-08-13,1214.9
155,2010-08-16,1224.5
156,2010-08-17,1226.6
157,2010-08-18,1229.7
158,2010-08-19,1233.8
159,2010-08-20,1227.2
160,2010-08-23,1226.9
161,2010-08-24,1231.8
162,2010-08-25,1239.5
163,2010-08-26,1235.4
164,2010-08-27,1236.0
165,2010-08-30,1237.1
166,2010-08-31,1248.3
167,2010-09-01,1246.3
168,2010-09-02,1251.5
169,2010-09-03,1249.2
170,2010-09-07,1257.3
171,2010-09-08,1255.6
172,2010-09-09,1248.9
173,2010-09-10,1244.5
174,2010-09-13,1245.1
175,2010-09-14,1269.7
176,2010-09-15,1266.7
177,2010-09-16,1271.9
178,2010-09-17,1275.6
179,2010-09-20,1279.0
180,2010-09-21,1272.4
181,2010-09-22,1290.2
182,2010-09-23,1294.3
183,2010-09-24,1296.0
184,2010-09-27,1296.7
185,2010-09-28,1306.6
186,2010-09-29,1308.5
187,2010-09-30,1307.8
188,2010-10-01,1316.1
189,2010-10-04,1315.4
190,2010-10-05,1338.9
191,2010-10-06,1346.4
192,2010-10-07,1333.9
193,2010-10-08,1344.2
194,2010-10-11,1353.3
195,2010-10-12,1345.7
196,2010-10-13,1369.5
197,2010-10-14,1376.7
198,2010-10-15,1371.1
199,2010-10-18,1371.2
200,2010-10-19,1335.1
201,2010-10-20,1343.3
202,2010-10-21,1324.7
203,2010-10-22,1324.4
204,2010-10-25,1338.3
205,2010-10-26,1338.0
206,2010-10-27,1322.2
207,2010-10-28,1342.1
208,2010-10-29,1357.1
209,2010-11-01,1350.2
210,2010-11-02,1356.4
211,2010-11-03,1337.1
212,2010-11-04,1382.7
213,2010-11-05,1397.3
214,2010-11-08,1402.8
215,2010-11-09,1409.8
216,2010-11-10,1399.1
217,2010-11-11,1403.1
218,2010-11-12,1365.4
219,2010-11-15,1368.4
220,2010-11-16,1338.3
221,2010-11-17,1336.8
222,2010-11-18,1352.9
223,2010-11-19,1352.2
224,2010-11-22,1357.7
225,2010-11-23,1377.5
226,2010-11-24,1372.9
227,2010-11-26,1362.3
228,2010-11-29,1366.0
229,2010-11-30,1385.0
230,2010-12-01,1387.3
231,2010-12-02,1388.5
232,2010-12-03,1405.4
233,2010-12-06,1415.3
234,2010-12-07,1408.3
235,2010-12-08,1382.5
236,2010-12-09,1392.1
237,2010-12-10,1384.3
238,2010-12-13,1397.3
239,2010-12-14,1403.6
240,2010-12-15,1385.5
241,2010-12-16,1370.4
242,2010-12-17,1378.6
243,2010-12-20,1385.5
244,2010-12-21,1388.2
245,2010-12-22,1386.8
246,2010-12-23,1380.0
247,2010-12-27,1382.4
248,2010-12-28,1405.2
249,2010-12-29,1413.1
250,2010-12-30,1405.6
251,2010-12-31,1421.1
252,2011-01-03,1422.6
253,2011-01-04,1378.5
254,2011-01-05,1373.4
255,2011-01-06,1371.4
256,2011-01-07,1368.5
257,2011-01-10,1373.7
258,2011-01-11,1384.0
259,2011-01-12,1385.7
260,2011-01-13,1386.9
261,2011-01-14,1360.4
262,2011-01-18,1368.1
263,2011-01-19,1370.2
264,2011-01-20,1346.5
265,2011-01-21,1341.0
266,2011-01-24,1344.5
267,2011-01-25,1332.3
268,2011-01-26,1333.0
269,2011-01-27,1318.4
270,2011-01-28,1340.7
271,2011-01-31,1333.8
272,2011-02-01,1339.6
273,2011-02-02,1331.5
274,2011-02-03,1352.3
275,2011-02-04,1348.3
276,2011-02-07,1347.6
277,2011-02-08,1363.4
278,2011-02-09,1364.8
279,2011-02-10,1361.9
280,2011-02-11,1359.9
281,2011-02-14,1364.6
282,2011-02-15,1373.6
283,2011-02-16,1374.7
284,2011-02-17,1384.7
285,2011-02-18,1388.2
286,2011-02-22,1400.5
287,2011-02-23,1413.4
288,2011-02-24,1415.3
289,2011-02-25,1408.7
290,2011-02-28,1409.3
291,2011-03-01,1430.7
292,2011-03-02,1437.2
293,2011-03-03,1416.0
294,2011-03-04,1428.2
295,2011-03-07,1434.1
296,2011-03-08,1426.9
297,2011-03-09,1429.3
298,2011-03-10,1412.2
299,2011-03-11,1421.5
300,2011-03-14,1424.6
301,2011-03-15,1392.6
302,2011-03-16,1396.0
303,2011-03-17,1404.0
304,2011-03-18,1415.9
305,2011-03-21,1426.2
306,2011-03-22,1427.5
307,2011-03-23,1437.9
308,2011-03-24,1434.8
309,2011-03-25,1426.1
310,2011-03-28,1419.8
311,2011-03-29,1416.0
312,2011-03-30,1423.8
313,2011-03-31,1438.9
314,2011-04-01,1428.1
315,2011-04-04,1432.2
316,2011-04-05,1451.8
317,2011-04-06,1457.7
